snapshot,output,time_Myr,mass_Msol,min,max,mean_mass_weighted
plt0000000,0,0,46491339.87,0.6717585775,9.859037982,6.945089978
plt0019161,19161,16.00001689,45004414.83,0.0009646633391,1914665.668,28119.37425
plt0145664,145664,32.00011157,29694129.9,0.0009646633391,1619417.895,136243.9456
plt0380849,380849,48.00001869,15364668.38,0.0009646633391,870123.2221,63932.62568
plt0636192,636192,64.00002752,7582597.868,0.0009646633391,1011587.81,95974.0373
plt0783280,783280,76.00006066,4750923.66,0.0009646633391,238464.9282,23839.25405
plt0958105,958105,92.00006673,3519973.628,0.0009646633391,183877.2877,5377.305424
plt1130213,1130213,108.0000786,3124805.235,0.0009646633391,90602.83162,1513.208464
plt1269207,1269207,124.0000126,3165819.628,0.0009646633391,51080.0399,1566.099492
